,parameter,parameter_value,train_accuracy,test_accuracy,train_confint,test_confint,avg_training_time,test_accuracies,parameter_value_log10,p-value
0,optimizer,0.0039810717055349856,0.6677,0.6369,"(0.6647, 0.6707)","(0.6336, 0.6403)","0.0m, 9.0s","[0.6329341530799866, 0.6371257305145264, 0.64371258020401, 0.640119731426239, 0.6383233666419983, 0.628742516040802, 0.6359281539916992, 0.6353293657302856, 0.6335329413414001, 0.64371258020401]",-2.4,
0,optimizer,0.0025118864315095872,0.6646,0.6367,"(0.661, 0.6682)","(0.6339, 0.6395)","0.0m, 9.0s","[0.6395209431648254, 0.6341317296028137, 0.6323353052139282, 0.6395209431648254, 0.6329341530799866, 0.6341317296028137, 0.6431137919425964, 0.6365269422531128, 0.6335329413414001, 0.6413173675537109]",-2.6,0.8982490238477929
0,optimizer,0.0015848931924611173,0.6614,0.6354,"(0.6588, 0.664)","(0.6335, 0.6372)","0.0m, 10.0s","[0.6365269422531128, 0.6371257305145264, 0.6335329413414001, 0.6353293657302856, 0.6371257305145264, 0.6311377286911011, 0.6383233666419983, 0.6347305178642273, 0.6317365169525146, 0.6383233666419983]",-2.8,0.2740310111490915
0,optimizer,0.025118864315095923,0.6578,0.6348,"(0.6552, 0.6604)","(0.6309, 0.6386)","0.0m, 9.0s","[0.6329341530799866, 0.6383233666419983, 0.6407185792922974, 0.6383233666419983, 0.6239520907402039, 0.6359281539916992, 0.6383233666419983, 0.6335329413414001, 0.6275449395179749, 0.6383233666419983]",-1.6,0.2673732492707875
0,optimizer,0.015848931924611207,0.6629,0.6347,"(0.6589, 0.667)","(0.6304, 0.6391)","0.0m, 9.0s","[0.6341317296028137, 0.6377245783805847, 0.6299400925636292, 0.6359281539916992, 0.6221556663513184, 0.6389221549034119, 0.6419161558151245, 0.6341317296028137, 0.6305389404296875, 0.6419161558151245]",-1.8,0.40330995439344186
0,optimizer,0.001000000000000002,0.6631,0.6341,"(0.6608, 0.6655)","(0.6313, 0.6369)","0.0m, 10.0s","[0.6335329413414001, 0.6365269422531128, 0.6281437277793884, 0.6353293657302856, 0.6317365169525146, 0.6335329413414001, 0.6395209431648254, 0.6341317296028137, 0.6395209431648254, 0.628742516040802]",-3.0,0.26407759863154573
0,optimizer,0.01000000000000004,0.6648,0.6328,"(0.6621, 0.6675)","(0.6294, 0.6362)","0.0m, 10.0s","[0.6389221549034119, 0.6383233666419983, 0.6245508790016174, 0.6377245783805847, 0.6317365169525146, 0.6269460916519165, 0.6311377286911011, 0.6323353052139282, 0.6335329413414001, 0.6329341530799866]",-2.0,0.09264066686862825
0,optimizer,0.006309573444801955,0.6666,0.6323,"(0.6642, 0.6689)","(0.6282, 0.6365)","0.0m, 9.0s","[0.640119731426239, 0.6335329413414001, 0.6395209431648254, 0.6281437277793884, 0.6209580898284912, 0.6281437277793884, 0.6305389404296875, 0.6365269422531128, 0.6323353052139282, 0.6335329413414001]",-2.2,0.06935533347368225
0,optimizer,0.039810717055349935,0.6527,0.6307,"(0.6507, 0.6548)","(0.6274, 0.6341)","0.0m, 9.0s","[0.6305389404296875, 0.6383233666419983, 0.6389221549034119, 0.6281437277793884, 0.6329341530799866, 0.6293413043022156, 0.6281437277793884, 0.628742516040802, 0.6245508790016174, 0.6275449395179749]",-1.4,0.0052706675459687664
0,optimizer,0.06309573444801969,0.6414,0.6292,"(0.6366, 0.6463)","(0.6219, 0.6365)","0.0m, 9.0s","[0.6359281539916992, 0.6065868139266968, 0.6311377286911011, 0.6239520907402039, 0.6353293657302856, 0.6335329413414001, 0.6281437277793884, 0.6371257305145264, 0.6197604537010193, 0.6407185792922974]",-1.2,0.050828882925507135
